,Enzyme Common Name,,EnzymeId,BioCyn ID
442,binding//protein serine/threonine phosphatase activity,primary,,FBGN0005777-MONOMER
443,"electron carrier activity//2 iron, 2 sulfur cluster binding",primary,,FBGN0035529-MONOMER
444,structural constituent of ribosome//zinc ion binding//nucleic acid binding,primary,,FBGN0032707-MONOMER
445,ORF,primary,,FBGN0085553-MONOMER
446,ORF,primary,,FBGN0035380-MONOMER
447,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0004780-MONOMER
448,3'-5'-exoribonuclease activity//RNA binding,primary,,FBGN0034065-MONOMER
449,aldose 1-epimerase activity,primary,107,FBGN0052445-MONOMER
450,ORF,primary,,FBGN0036958-MONOMER
451,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0023541-MONOMER
452,nucleic acid binding//endonuclease activity,primary,,FBGN0036323-MONOMER
453,odorant binding,primary,,FBGN0043536-MONOMER
454,ORF,primary,,FBGN0050271-MONOMER
455,ORF,primary,,FBGN0085322-MONOMER
456,GTPase activity,primary,1171,FBGN0039213-MONOMER
457,ORF,primary,,FBGN0085254-MONOMER
458,ORF,primary,,FBGN0032193-MONOMER
459,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0034109-MONOMER
460,structural constituent of ribosome,primary,,FBGN0030616-MONOMER
461,ion channel activity,primary,,FBGN0035934-MONOMER
462,inorganic diphosphatase activity,primary,473,FBGN0039710-MONOMER
463,ORF,primary,,FBGN0052161-MONOMER
464,taste receptor activity,primary,,FBGN0041247-MONOMER
465,ORF,primary,,FBGN0031923-MONOMER
466,ORF,primary,,FBGN0036584-MONOMER
467,ORF,primary,,FBGN0038392-MONOMER
468,RNA polymerase II transcription mediator activity,primary,,FBGN0038760-MONOMER
469,ORF,primary,,FBGN0033702-MONOMER
470,ORF,primary,,FBGN0039760-MONOMER
471,4'-phosphopantothenoylcysteine synthetase,primary,448,MONOMER54L-9383
472,ORF,primary,,FBGN0085344-MONOMER
473,ORF,primary,,FBGN0036194-MONOMER
474,ORF,primary,,FBGN0038488-MONOMER
475,guanyl-nucleotide exchange factor activity,primary,,FBGN0085422-MONOMER
476,microtubule motor activity//ATP binding//motor activity,primary,,FBGN0004381-MONOMER
477,ORF,primary,,FBGN0050033-MONOMER
478,ORF,primary,,FBGN0035824-MONOMER
479,ORF,primary,,FBGN0030666-MONOMER
480,mRNA binding,primary,,FBGN0003062-MONOMER
481,odorant binding,primary,,FBGN0034475-MONOMER
482,ORF,primary,,FBGN0030940-MONOMER
483,protein binding,primary,,FBGN0037956-MONOMER
484,calcium ion binding,primary,,FBGN0050378-MONOMER
485,structural constituent of ribosome,primary,,FBGN0040651-MONOMER
486,ORF,primary,,FBGN0069963-MONOMER
487,chitin binding,primary,,FBGN0053985-MONOMER
488,ATPase activity,primary,641,FBGN0000346-MONOMER
489,secondary active organic cation transmembrane transporter activity,primary,,FBGN0038938-MONOMER
490,ORF,primary,,FBGN0032834-MONOMER
491,ORF,primary,,FBGN0032422-MONOMER
492,ORF,primary,,FBGN0033957-MONOMER
493,ORF,primary,,FBGN0053995-MONOMER
494,ORF,primary,,FBGN0037228-MONOMER
495,GTPase activity,primary,1171,FBGN0015789-MONOMER
496,sugar binding,primary,1471,FBGN0041210-MONOMER
497,phospholipid-translocating ATPase activity,primary,461,FBGN0259221-MONOMER
498,ORF,primary,,FBGN0051126-MONOMER
499,binding,primary,,FBGN0039296-MONOMER
500,protein binding,primary,,FBGN0053193-MONOMER
501,carbohydrate binding,primary,,FBGN0033482-MONOMER
502,beta-catenin binding//cell adhesion molecule binding//protein binding//receptor activity//calcium ion binding,primary,,FBGN0003391-MONOMER
503,ORF,primary,,FBGN0053500-MONOMER
504,transcription cofactor activity,primary,,FBGN0013764-MONOMER
505,carboxylesterase activity,primary,1121,FBGN0015573-MONOMER
506,ORF,primary,,FBGN0035189-MONOMER
507,ORF,primary,,FBGN0039752-MONOMER
508,trypsin activity,primary,823,FBGN0033439-MONOMER
509,1-acylglycerol-3-phosphate O-acyltransferase activity,primary,22,FBGN0023196-MONOMER
510,ORF,primary,,FBGN0036787-MONOMER
511,protein-lysine 6-oxidase activity,primary,804,FBGN0039848-MONOMER
512,catalytic activity,primary,,FBGN0031332-MONOMER
513,ORF,primary,,FBGN0050017-MONOMER
514,alanine-tRNA ligase activity,primary,1419,FBGN0028962-MONOMER
515,membrane alanyl aminopeptidase activity,primary,1041,FBGN0039656-MONOMER
516,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0039347-MONOMER
517,serine-type peptidase activity,primary,,FBGN0031720-MONOMER
518,ORF,primary,,FBGN0035000-MONOMER
519,ORF,primary,,FBGN0053516-MONOMER
520,ORF,primary,,FBGN0085231-MONOMER
521,ORF,primary,,FBGN0051676-MONOMER
522,catalytic activity,primary,,FBGN0002552-MONOMER
523,ubiquitin-protein ligase activity,primary,1480,FBGN0034863-MONOMER
524,ORF,primary,,FBGN0034484-MONOMER
525,ORF,primary,,FBGN0033229-MONOMER
526,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",primary,357,FBGN0053145-MONOMER
527,ORF,primary,,FBGN0259200-MONOMER
528,hormone binding//serine-type endopeptidase inhibitor activity,primary,,FBGN0028987-MONOMER
529,mannosyltransferase activity,primary,864,FBGN0035464-MONOMER
530,ORF,primary,,FBGN0032389-MONOMER
531,transcription factor activity,primary,,FBGN0032248-MONOMER
532,Rho guanyl-nucleotide exchange factor activity//guanyl-nucleotide exchange factor activity,primary,,FBGN0015803-MONOMER
533,chitin binding//structural constituent of peritrophic membrane,primary,,FBGN0259698-MONOMER
534,poly-pyrimidine tract binding//nucleotide binding//mRNA binding,primary,,FBGN0024285-MONOMER
535,ORF,primary,,FBGN0259151-MONOMER
536,chitin binding,primary,,FBGN0035325-MONOMER
537,G-protein coupled receptor kinase activity,primary,1475,FBGN0023169-MONOMER
538,ORF,primary,,FBGN0085259-MONOMER
539,high affinity inorganic phosphate:sodium symporter activity,primary,,FBGN0034784-MONOMER
540,oxidoreductase activity//transition metal ion binding,primary,,FBGN0027794-MONOMER
541,secretin-like receptor activity//calcitonin receptor activity//neuropeptide receptor activity,primary,,FBGN0052843-MONOMER
542,single-stranded DNA binding,primary,,FBGN0011679-MONOMER
543,calcium-dependent phospholipid binding,primary,,FBGN0032653-MONOMER
544,structural constituent of chitin-based cuticle,primary,,FBGN0036680-MONOMER
545,ORF,primary,,FBGN0058269-MONOMER
546,transcription regulator activity,primary,,FBGN0017550-MONOMER
547,choline-phosphate cytidylyltransferase activity,primary,923,FBGN0041342-MONOMER
548,two-component sensor activity//transcription activator activity//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0015542-MONOMER
549,double-stranded RNA binding//cytoskeletal protein binding//actin binding,primary,,FBGN0053715-MONOMER
550,catalytic activity,primary,1121,FBGN0051146-MONOMER
551,ORF,primary,,FBGN0031026-MONOMER
552,structural constituent of pupal chitin-based cuticle,primary,,FBGN0004554-MONOMER
553,ORF,primary,,FBGN0032311-MONOMER
554,ORF,primary,,FBGN0050485-MONOMER
555,ORF,primary,,FBGN0034293-MONOMER
556,hydrogen:vesicular amine antiporter activity,primary,,FBGN0043005-MONOMER
557,laminin receptor activity//cell adhesion molecule binding//structural molecule activity//receptor activity,primary,,FBGN0003328-MONOMER
558,ORF,primary,,FBGN0086677-MONOMER
559,ORF,primary,,FBGN0067341-MONOMER
560,ORF,primary,,FBGN0034129-MONOMER
561,importin-alpha export receptor activity,primary,,FBGN0022213-MONOMER
562,taste receptor activity,primary,,FBGN0035167-MONOMER
563,ORF,primary,,FBGN0034688-MONOMER
564,ORF,primary,,FBGN0026634-MONOMER
565,ORF,primary,,FBGN0038272-MONOMER
566,neprilysin activity,primary,211,FBGN0032613-MONOMER
567,endopeptidase activity,primary,,FBGN0028689-MONOMER
568,ORF,primary,,FBGN0032624-MONOMER
569,nucleotide-sugar transmembrane transporter activity,primary,,FBGN0029849-MONOMER
570,receptor binding,primary,,FBGN0052496-MONOMER
571,transporter activity//serine-type endopeptidase inhibitor activity,primary,,FBGN0031558-MONOMER
572,ORF,primary,,FBGN0087005-MONOMER
573,SH3/SH2 adaptor activity//guanyl-nucleotide exchange factor activity,primary,,FBGN0031762-MONOMER
574,NEDD8 activating enzyme activity,primary,,FBGN0027053-MONOMER
575,structural constituent of muscle//motor activity,primary,,FBGN0003149-MONOMER
576,zinc ion binding,primary,,FBGN0028642-MONOMER
577,mevalonate kinase activity,primary,1149,FBGN0061359-MONOMER
578,ORF,primary,,FBGN0011694-MONOMER
579,dihydroorotate oxidase activity,primary,1256,FBGN0000447-MONOMER
580,RNA polymerase II transcription factor activity//transcription factor activity//sugar:hydrogen symporter activity//zinc ion binding,primary,,FBGN0003396-MONOMER
581,ORF,primary,,FBGN0085503-MONOMER
582,ORF,primary,,FBGN0259189-MONOMER
583,ORF,primary,,FBGN0031037-MONOMER
584,ORF,primary,,FBGN0039210-MONOMER
585,trypsin activity,primary,823,FBGN0033192-MONOMER
586,neurotransmitter transporter activity,primary,,FBGN0031936-MONOMER
587,ORF,primary,,FBGN0030811-MONOMER
588,ORF,primary,,FBGN0052355-MONOMER
589,ORF,primary,,FBGN0035249-MONOMER
590,ORF,primary,,FBGN0032488-MONOMER
591,metalloendopeptidase activity//zinc ion binding,primary,,FBGN0038341-MONOMER
592,calcium-dependent cysteine-type endopeptidase activity,primary,,FBGN0020226-MONOMER
593,open rectifier potassium channel activity,primary,,FBGN0035192-MONOMER
594,calcium ion binding,primary,,FBGN0053490-MONOMER
595,ORF,primary,,FBGN0035152-MONOMER
596,pyruvate dehydrogenase (acetyl-transferring) activity,primary,1534,FBGN0029722-MONOMER
597,oxidoreductase activity,primary,,FBGN0031207-MONOMER
598,guanyl nucleotide binding,primary,,FBGN0031782-MONOMER
599,ORF,primary,,FBGN0036602-MONOMER
600,DNA binding//transcription factor activity,primary,,FBGN0037466-MONOMER
601,ORF,primary,,FBGN0032231-MONOMER
602,ORF,primary,,FBGN0002629-MONOMER
603,ORF,primary,,FBGN0038814-MONOMER
604,ATPase activity,primary,641,FBGN0016983-MONOMER
605,aralkylamine N-acetyltransferase activity,primary,770,FBGN0019643-MONOMER
606,selenium binding,primary,,FBGN0030501-MONOMER
607,ORF,primary,,FBGN0029715-MONOMER
608,DNA binding//NAD-dependent histone deacetylase activity//NAD binding//zinc ion binding,primary,,FBGN0037802-MONOMER
609,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",primary,833,FBGN0036795-MONOMER
610,ORF,primary,,FBGN0033110-MONOMER
611,ORF,primary,,FBGN0039733-MONOMER
612,ORF,primary,,FBGN0037968-MONOMER
613,ORF,primary,,FBGN0033827-MONOMER
614,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0011211-MONOMER
615,oxygen transporter activity,primary,,FBGN0000639-MONOMER
616,ORF,primary,,FBGN0085701-MONOMER
617,ORF,primary,,FBGN0030647-MONOMER
618,protein binding//phosphoinositide binding,primary,,FBGN0031534-MONOMER
619,ORF,primary,,FBGN0037329-MONOMER
620,ORF,primary,,FBGN0028504-MONOMER
621,ORF,primary,,FBGN0042185-MONOMER
622,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,,FBGN0036757-MONOMER
623,outward rectifier potassium channel activity,primary,,FBGN0017561-MONOMER
624,sequence-specific DNA binding//transcription factor activity,primary,,FBGN0040318-MONOMER
625,ORF,primary,,FBGN0014127-MONOMER
626,DNA binding//zinc ion binding,primary,,FBGN0039227-MONOMER
627,ORF,primary,,FBGN0027544-MONOMER
628,transcription factor activity,primary,,FBGN0017578-MONOMER
629,structural constituent of eye lens//structural constituent of chitin-based cuticle,primary,,FBGN0005664-MONOMER
630,NAD+ kinase activity,primary,1181,FBGN0033853-MONOMER
631,ORF,primary,,FBGN0026417-MONOMER
632,ORF,primary,,FBGN0028850-MONOMER
633,ORF,primary,,FBGN0030998-MONOMER
634,protein binding,primary,,FBGN0082585-MONOMER
635,protein serine/threonine kinase activity,primary,1451,FBGN0035142-MONOMER
636,DNA binding//protein binding//chromatin insulator sequence binding,primary,,FBGN0015602-MONOMER
637,aminoacylase activity,primary,143,FBGN0037818-MONOMER
638,neurotransmitter:sodium symporter activity//monoamine transmembrane transporter activity//serotonin transmembrane transporter activity//neurotransmitter transporter activity//cation channel activity,primary,,FBGN0010414-MONOMER
639,"ATPase activity, coupled",primary,641,FBGN0002772-MONOMER
640,ORF,primary,,FBGN0050459-MONOMER
641,glutathione peroxidase activity,primary,650,FBGN0010038-MONOMER
642,ORF,primary,,FBGN0032318-MONOMER
643,ORF,primary,,FBGN0040384-MONOMER
644,ORF,primary,,FBGN0035952-MONOMER
645,ORF,primary,,FBGN0083955-MONOMER
646,ORF,primary,,FBGN0084001-MONOMER
647,ORF,primary,,FBGN0033541-MONOMER
648,ORF,primary,,FBGN0085505-MONOMER
649,DNA binding,primary,,FBGN0053845-MONOMER
650,DNA binding,primary,,FBGN0038390-MONOMER
651,zinc ion binding//nucleic acid binding,primary,,FBGN0030878-MONOMER
652,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",primary,,FBGN0033117-MONOMER
653,N-sulfoglucosamine sulfohydrolase activity,primary,1352,FBGN0038660-MONOMER
654,alpha-glucosidase activity,primary,40,FBGN0032382-MONOMER
655,NADH dehydrogenase activity,primary,1214,FBGN0029888-MONOMER
656,serine-type endopeptidase activity,primary,,FBGN0038250-MONOMER
657,chitin binding,primary,,FBGN0039042-MONOMER
658,"3',5'-cyclic-AMP phosphodiesterase activity",primary,1312,FBGN0259225-MONOMER
659,protein serine/threonine kinase activity,primary,1451,FBGN0004462-MONOMER
660,unfolded protein binding//heat shock protein binding,primary,,FBGN0037151-MONOMER
661,histone-lysine N-methyltransferase activity,primary,229,FBGN0040372-MONOMER
662,ORF,primary,,FBGN0085457-MONOMER
663,endodeoxyribonuclease activity//nucleic acid binding,primary,,FBGN0051679-MONOMER
664,dolichyl-phosphate beta-glucosyltransferase activity,primary,416,FBGN0032012-MONOMER
665,scavenger receptor activity,primary,,FBGN0038867-MONOMER
666,odorant binding,primary,,FBGN0037589-MONOMER
667,ORF,primary,,FBGN0034907-MONOMER
668,monocarboxylic acid transmembrane transporter activity,primary,,FBGN0001296-MONOMER
669,ORF,primary,,FBGN0014466-MONOMER
670,ORF,primary,,FBGN0035234-MONOMER
671,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,primary,1056,FBGN0027341-MONOMER
672,ORF,primary,,FBGN0003175-MONOMER
673,ORF,primary,,FBGN0034563-MONOMER
674,GTPase activity,primary,1171,FBGN0015796-MONOMER
675,ORF,primary,,FBGN0052242-MONOMER
676,G-protein coupled receptor activity,primary,,FBGN0039821-MONOMER
677,transporter activity,primary,,FBGN0051262-MONOMER
678,ORF,primary,,FBGN0030725-MONOMER
679,transcription regulator activity//transcription factor activity,primary,,FBGN0003130-MONOMER
680,GTPase activator activity//protein binding,primary,,FBGN0030444-MONOMER
681,ORF,primary,,FBGN0038828-MONOMER
682,ORF,primary,,FBGN0037340-MONOMER
683,ORF,primary,,FBGN0033275-MONOMER
684,nicotinate phosphoribosyltransferase activity,primary,1,FBGN0031589-MONOMER
685,protein kinase activity,primary,,FBGN0036142-MONOMER
686,structural constituent of ribosome,primary,,FBGN0040389-MONOMER
687,ORF,primary,,FBGN0037171-MONOMER
688,ORF,primary,,FBGN0040941-MONOMER
689,NADH dehydrogenase activity,primary,1214,FBGN0035046-MONOMER
690,phosphoric monoester hydrolase activity,primary,,FBGN0031045-MONOMER
691,ORF,primary,,FBGN0037417-MONOMER
692,ORF,primary,,FBGN0053260-MONOMER
693,inositol-1(or 4)-monophosphatase activity,primary,868,FBGN0036553-MONOMER
694,"Gram-negative bacterial binding//pattern recognition receptor activity//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,,FBGN0040321-MONOMER
695,ORF,primary,,FBGN0030946-MONOMER
696,ORF,primary,,FBGN0034721-MONOMER
697,ORF,primary,,FBGN0047330-MONOMER
698,heat shock protein binding,primary,,FBGN0031880-MONOMER
699,ORF,primary,,FBGN0050077-MONOMER
700,thiamin diphosphokinase activity,primary,123,FBGN0037942-MONOMER
701,ORF,primary,,FBGN0034681-MONOMER
702,ORF,primary,,FBGN0029839-MONOMER
703,hydrolase activity,primary,,FBGN0031987-MONOMER
704,ORF,primary,,FBGN0031626-MONOMER
705,hedgehog receptor activity,primary,,FBGN0031140-MONOMER
706,zinc ion binding,primary,,FBGN0032763-MONOMER
707,ORF,primary,,FBGN0046301-MONOMER
708,DNA binding//transcription factor activity,primary,,FBGN0019809-MONOMER
709,ORF,primary,,FBGN0029803-MONOMER
710,zinc ion binding//nucleic acid binding,primary,,FBGN0041727-MONOMER
711,ORF,primary,,FBGN0054034-MONOMER
712,ORF,primary,,FBGN0035685-MONOMER
713,trypsin activity,primary,823,FBGN0037515-MONOMER
714,dUTP diphosphatase activity,primary,1294,FBGN0250837-MONOMER
715,unfolded protein binding//heat shock protein binding,primary,,FBGN0035273-MONOMER
716,4-nitrophenylphosphatase activity,primary,928,FBGN0030348-MONOMER
717,ORF,primary,,FBGN0054007-MONOMER
718,transporter activity,primary,1384,FBGN0039251-MONOMER
719,ORF,primary,,FBGN0037429-MONOMER
720,ORF,primary,,FBGN0036258-MONOMER
721,ORF,primary,,FBGN0032504-MONOMER
722,serine-type Pro-X carboxypeptidase activity,primary,799,FBGN0038705-MONOMER
723,ORF,primary,,FBGN0034527-MONOMER
724,ATP binding//transcription factor activity,primary,,FBGN0259162-MONOMER
725,sepiapterin reductase activity,primary,954,FBGN0014032-MONOMER
726,sulfotransferase activity,primary,819,FBGN0032618-MONOMER
727,ORF,primary,,FBGN0030850-MONOMER
728,ORF,primary,,FBGN0052835-MONOMER
729,zinc ion binding//nucleic acid binding,primary,,FBGN0037877-MONOMER
730,ORF,primary,,FBGN0037131-MONOMER
731,ORF,primary,,FBGN0037848-MONOMER
732,protein kinase A binding,primary,1451,FBGN0027932-MONOMER
733,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0032294-MONOMER
734,ORF,primary,,FBGN0002652-MONOMER
735,protein binding,primary,,FBGN0030330-MONOMER
736,ORF,primary,,FBGN0051697-MONOMER
737,ORF,primary,,FBGN0053307-MONOMER
738,serine-type endopeptidase activity,primary,,FBGN0034807-MONOMER
739,ORF,primary,,FBGN0037998-MONOMER
740,FH1 domain binding//zinc ion binding//nucleic acid binding,primary,,FBGN0031287-MONOMER
741,acylphosphatase activity,primary,480,FBGN0040524-MONOMER
742,protein binding,primary,,FBGN0000108-MONOMER
743,guanyl-nucleotide exchange factor activity//G-protein alpha-subunit binding,primary,,FBGN0028292-MONOMER
744,ORF,primary,,FBGN0085211-MONOMER
745,peroxidase activity,primary,505,FBGN0031479-MONOMER
746,ORF,primary,,FBGN0036532-MONOMER
747,serine-type endopeptidase inhibitor activity,primary,,FBGN0058006-MONOMER
748,ORF,primary,,FBGN0053664-MONOMER
749,NADH dehydrogenase (ubiquinone) activity,primary,1214,FBGN0039909-MONOMER
750,glycine N-methyltransferase activity,primary,1230,FBGN0038074-MONOMER
751,DNA binding//zinc ion binding,primary,,FBGN0003683-MONOMER
752,odorant binding,primary,,FBGN0050052-MONOMER
